project_heavy,exam_heavy,homework_heavy,time_consuming,self_learning_required,harsh_grading,disorganized_course,fair_but_strict,evidence_snippet,label_rationale
0,0,0,0,0,0,0,0,"quizzes were easy","The review describes easy quizzes and fair exams without heavy workload evidence."
0,1,1,0,0,1,1,0,"homework grading was much harsher than expected","The review describes disorganization, harsh homework grading, and exams as inconsistent."
0,1,1,1,0,1,0,1,"Homeworks are definitely hard","The review describes weekly quizzes, hard homework, and studying, but the course is manageable."
0,1,1,1,0,0,0,1,"weekly quiz does force you to stay on top","The review describes weekly quizzes and difficult homework, but fair grading."
0,0,1,1,0,0,0,0,"Homeworks can take time to complete","Homework is described as difficult and time-consuming, while exams are easy."
0,1,0,0,0,0,0,1,"grading was broken down simply by quizzes and exams","Assessments are central, but described as fair and manageable."
0,1,0,1,0,0,0,1,"study the things he says are important","Exams and quizzes require steady effort but are described as reasonable and fair."
0,1,1,0,0,0,0,1,"exam questions are sometimes confusing","Homework and exams are central, but the review frames them as doable."
0,1,0,0,0,0,0,1,"80% exams, 20% quizzes","Assessments make up the full grade, but the review says they are fair."
0,1,0,0,0,1,0,0,"homeworks + exams are graded pretty strictly","Exam-heavy is supported by three exams, with strict grading as context."
0,0,0,0,0,0,0,0,"spent at most 5 hours a week","The review explicitly says the class was easy and low time."
0,1,0,0,0,0,0,0,"some exam questions were reliant on logic","The review mentions exam concerns but describes the course as organized and manageable."
0,0,0,0,0,0,0,0,"Projects were fine","The review is negative about teaching style, but not workload-heavy."
0,0,0,0,0,0,0,1,"course itself is certainly challenging","The course is challenging but described as supportive and manageable."
1,0,0,1,1,0,1,0,"projects were challenging","The review describes challenging projects, vague specs, disorganized lectures, and self-learning."
0,0,0,1,1,0,0,0,"I basically taught myself all of the content","The review says the student taught themselves while studying and doing projects."
